Company_name,Description,Ratings,Rating_count,No_of_reviews,Salaries,Interviews,Jobs,Benefits,Photos
Saipem,Engineering & Construction | Chennai +42 other locations,4.2,(1.1k),1.1k,3.4k,55,25,148,19
Tube Investments of India,Engineering & Construction | Chennai +65 other locations,3.8,(1.1k),1.1k,3.6k,70,28,53,17
Vedanta Aluminium,Metals & Mining | Jharsuguda +46 other locations,3.8,(1.1k),1.1k,4.5k,70,--,113,15
Syngenta,Agriculture | Pune +173 other locations,4.2,(1.1k),1.1k,3.7k,81,17,95,5
Godrej Agrovet,Agriculture | Mumbai +146 other locations,3.9,(1.1k),1.1k,3.5k,63,4,79,6
ICON Plc,Clinical Research | Chennai +23 other locations,4.0,(1.1k),1.1k,4.4k,137,7,54,100
Knorr-Bremse,Auto Components | Pune +33 other locations,3.3,(1.1k),1.1k,5.1k,72,8,115,--
Northcorp Software,IT Services & Consulting | Gurugram +7 other locations,4.9,(1.1k),1.1k,220,865,4,54,1
CALIBEHR,IT Services & Consulting | Mumbai +184 other locations,4.0,(1.1k),1.1k,2.7k,70,17,62,3
Unity Small Finance Bank,Banking | Mumbai +149 other locations,3.6,(1.1k),1.1k,4.2k,80,26,12,13
Aarvi Encon,Recruitment | Mumbai +132 other locations,3.9,(1.1k),1.1k,3k,83,--,67,4
HPCL-Mittal Energy Limited,Petrochemicals | Bathinda +29 other locations,4.3,(1.1k),1.1k,4.6k,47,--,107,18
Adani Ports and SEZ,Ports & Shipping | Mundra +60 other locations,3.6,(1.1k),1.1k,3.9k,77,--,124,15
Xyz Company,Financial Services | Bengaluru +90 other locations,3.8,(1.1k),1.1k,47.3k,535,--,63,--
Gmmco,Industrial Machinery | Chennai +90 other locations,4.1,(1.1k),1.1k,2.9k,53,5,110,1
TKIL,Industrial Machinery | Pune +66 other locations,4.1,(1.1k),1.1k,4.6k,75,18,93,5
Vayona Energy,Power | Bengaluru +68 other locations,4.0,(1.1k),1.1k,4.9k,60,5,102,4
GAIL,Oil & Gas | New Delhi +104 other locations,4.4,(1.1k),1.1k,3.2k,81,--,88,5
Hinduja Housing Finance,NBFC | New Delhi +215 other locations,3.7,(1.1k),1.1k,2.8k,48,33,30,8
Metropolis Healthcare,Healthcare | Mumbai +104 other locations,3.9,(1.1k),1.1k,3.6k,68,17,72,3
Jet Airways,Aviation | Mumbai +44 other locations,4.6,(1.1k),1.1k,1.9k,24,--,180,--
Power Grid Corporation of India,Power | Gurugram +235 other locations,4.3,(1.1k),1.1k,2k,79,--,79,6
Tata Capital Housing Finance,NBFC | Mumbai +170 other locations,4.0,(1.1k),1.1k,3.1k,50,1,1,1
Pernod Ricard,Beverage | Gurugram +121 other locations,3.5,(1.1k),1.1k,4.6k,62,7,110,6
Dana Anand,Auto Components | Pune +49 other locations,4.0,(1.1k),1.1k,2.9k,56,--,127,6
Nexa,Automobile | New Delhi +216 other locations,3.9,(1.1k),1.1k,2.3k,41,--,103,1
Bajaj Capital Insurance Broking Limited,Insurance | New Delhi +141 other locations,4.4,(1.1k),1.1k,1.3k,229,--,41,12
Klm Axiva Finvest,NBFC | Bengaluru +158 other locations,4.4,(1.1k),1.1k,781,438,4,6,15
Aspire Systems,IT Services & Consulting | Chennai +23 other locations,3.8,(1.1k),1.1k,9.9k,129,123,84,--
Thermo Fisher Scientific,Biotechnology | Bengaluru +36 other locations,3.8,(1.1k),1.1k,6.7k,108,276,93,1
Innodata India Private Limited,IT Services & Consulting | Noida +23 other locations,3.6,(1.1k),1.1k,3k,108,69,55,--
Amazon Sellers Services,Internet | Bengaluru +68 other locations,4.0,(1.1k),1.1k,2.5k,132,--,101,--
